"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Eduardo Nunez","- - -","595","4.9 %","14.8 %","0.33",".288",".325",".432",".758",".145","6.6",".314","-1.8","1.0","3.6","73","2.7",".324","102","6848"
"Russell Martin","Blue Jays","535","12.0 %","27.7 %","0.43",".231",".335",".398",".733",".167","2.2",".291","-1.4","0.0","-0.3","65","1.6",".322","99","4616"
"Nick Markakis","Braves","684","10.4 %","14.8 %","0.70",".269",".346",".397",".744",".129","1.3",".300","-0.7","-0.5","-1.2","82","1.4",".321","98","5930"
"Jonathan Schoop","Orioles","647","3.2 %","21.2 %","0.15",".267",".298",".454",".752",".187","2.4",".305","0.8","-0.4","-0.9","77","1.2",".320","97","11265"
"Ender Inciarte","Braves","578","7.8 %","11.8 %","0.66",".291",".351",".381",".732",".090","6.3",".329","3.2","1.1","0.0","68","0.3",".319","97","4922"
"Didi Gregorius","Yankees","597","3.2 %","13.7 %","0.23",".276",".304",".447",".751",".171","4.3",".290","1.7","1.2","0.7","71","0.2",".319","98","6012"
"Corey Dickerson","Rays","548","6.0 %","24.5 %","0.25",".245",".293",".469",".761",".224","2.7",".285","-0.6","0.4","-1.0","65","0.2",".319","101","10762"
"Adam Jones","Orioles","672","5.8 %","17.1 %","0.34",".265",".310",".436",".746",".171","2.6",".280","2.4","-0.8","0.0","79","0.2",".319","96","6368"
"Nomar Mazara","Rangers","568","6.9 %","19.7 %","0.35",".266",".320",".419",".739",".153","2.4",".299","-2.8","0.6","-1.1","67","0.1",".318","94","14553"
"Brett Gardner","Yankees","634","11.0 %","16.7 %","0.66",".261",".351",".362",".713",".101","6.0",".310","4.7","1.5","1.1","74","-0.5",".317","97","9927"
"Addison Russell","Cubs","598","9.2 %","22.6 %","0.41",".238",".321",".417",".738",".179","4.3",".277","-0.2","1.2","0.3","70","-0.8",".316","95","14106"
"Eugenio Suarez","Reds","627","8.1 %","24.7 %","0.33",".248",".317",".411",".728",".163","4.4",".304","-1.1","0.3","-0.2","73","-0.9",".316","93","12552"
"Cheslor Cuthbert","Royals","510","6.3 %","18.8 %","0.33",".274",".318",".413",".731",".139","2.7",".320","-3.4","-0.8","0.1","59","-0.9",".316","94","10473"
"Marcus Semien","Athletics","621","8.2 %","22.4 %","0.37",".238",".300",".435",".735",".197","4.4",".268","-1.3","0.1","0.9","72","-1.6",".315","100","12533"
"Brandon Phillips","Reds","584","3.1 %","11.6 %","0.26",".291",".320",".416",".736",".125","4.4",".312","-1.1","-1.7","-0.8","67","-1.6",".315","92","791"
"Scooter Gennett","Brewers","542","7.0 %","21.0 %","0.33",".263",".317",".412",".728",".149","4.1",".315","-3.5","0.0","0.9","62","-1.6",".315","91","10339"
"Starlin Castro","Yankees","610","3.9 %","19.3 %","0.20",".270",".300",".433",".734",".163","3.1",".305","-1.3","-0.8","0.5","69","-2.7",".313","94","4579"
"Zack Cozart","Reds","508","7.3 %","16.5 %","0.44",".252",".308",".425",".732",".172","4.2",".274","0.4","-1.0","0.2","57","-2.4",".312","91","2616"
"Chase Utley","Dodgers","565","7.1 %","20.4 %","0.35",".252",".319",".396",".716",".145","3.9",".299","0.0","2.0","-0.7","64","-2.9",".312","97","1679"
"Denard Span","Giants","637","8.3 %","12.4 %","0.67",".266",".331",".381",".712",".115","4.6",".291","2.9","0.7","-0.8","72","-3.5",".312","96","8347"
"Maikel Franco","Phillies","630","6.3 %","16.8 %","0.38",".255",".306",".427",".733",".172","1.9",".271","-0.7","0.0","-0.5","71","-3.6",".311","92","12179"
"Chase Headley","Yankees","529","9.6 %","22.3 %","0.43",".251",".329",".383",".712",".133","3.9",".303","2.8","0.6","0.5","59","-3.3",".311","92","4720"
"Travis Shaw","Red Sox","530","8.1 %","25.1 %","0.32",".242",".306",".421",".726",".179","4.4",".299","-2.9","1.1","0.4","59","-3.7",".310","87","11982"
"Jacoby Ellsbury","Yankees","626","8.6 %","13.4 %","0.64",".263",".330",".374",".703",".111","5.7",".295","2.5","-0.2","0.4","69","-5.0",".308","91","4727"
"Adonis Garcia","Braves","563","4.3 %","16.5 %","0.26",".273",".311",".406",".717",".133","2.7",".308","0.0","-1.0","-0.5","62","-4.6",".308","90","13777"
"Salvador Perez","Royals","546","4.0 %","21.8 %","0.18",".247",".288",".438",".725",".191","2.0",".280","-3.5","-0.4","-0.2","60","-4.7",".308","88","7304"
"Mitch Moreland","Rangers","503","7.0 %","23.5 %","0.30",".233",".298",".422",".720",".189","1.7",".266","-3.1","1.3","0.0","55","-4.4",".307","87","3086"
"Stephen Vogt","Athletics","532","6.6 %","15.6 %","0.42",".251",".305",".406",".711",".155","2.0",".275","0.3","0.8","-0.3","57","-5.8",".305","93","5000"
"Jordy Mercer","Pirates","584","8.7 %","14.2 %","0.61",".256",".328",".374",".701",".118","3.0",".286","2.9","1.2","-0.5","62","-7.0",".304","89","6547"
"Howie Kendrick","Dodgers","543","9.2 %","17.7 %","0.52",".255",".326",".366",".691",".111","4.8",".301","4.0","-2.5","0.9","57","-6.6",".303","91","4229"
"Alex Gordon","Royals","506","10.3 %","29.2 %","0.35",".220",".312",".380",".692",".160","5.0",".288","0.0","-0.2","0.9","53","-6.5",".303","85","5209"
"Josh Harrison","Pirates","522","3.4 %","14.6 %","0.24",".283",".311",".388",".699",".105","6.8",".323","0.7","0.6","1.9","54","-7.5",".301","87","8202"
"Joe Panik","Giants","526","9.5 %","8.9 %","1.06",".239",".315",".379",".695",".140","5.9",".245","1.6","-0.1","0.7","54","-7.9",".300","89","11936"
"Yonder Alonso","Athletics","532","8.5 %","13.9 %","0.61",".253",".316",".367",".683",".114","2.5",".284","-1.7","-1.2","-0.1","54","-8.5",".299","88","2530"
"Marwin Gonzalez","Astros","518","4.2 %","22.8 %","0.19",".254",".293",".401",".694",".147","5.1",".311","-0.2","-1.4","-0.3","53","-8.4",".298","87","5497"
"Leonys Martin","Mariners","576","7.6 %","25.9 %","0.30",".247",".306",".378",".684",".131","6.2",".313","1.9","0.7","2.0","58","-9.7",".298","88","11846"
"Melvin Upton Jr.","- - -","539","6.9 %","28.8 %","0.24",".238",".291",".402",".693",".165","6.2",".300","2.5","1.3","1.9","54","-9.2",".297","84","5015"
"Kevin Pillar","Blue Jays","584","4.1 %","15.4 %","0.27",".266",".303",".376",".679",".109","4.7",".306","2.8","-1.0","0.0","58","-11.3",".295","80","12434"
"Danny Espinosa","Nationals","601","9.0 %","29.0 %","0.31",".209",".306",".378",".684",".169","3.7",".261","1.2","3.2","0.7","59","-12.0",".294","79","9219"
"Freddy Galvis","Phillies","624","4.0 %","21.8 %","0.18",".241",".274",".399",".673",".158","5.0",".280","0.8","-0.3","0.7","56","-17.4",".284","74","6609"
"Jose Iglesias","Tigers","513","5.5 %","9.7 %","0.56",".255",".306",".336",".643",".081","3.6",".276","2.6","-0.3","-0.5","46","-14.8",".283","73","10231"
"Jason Heyward","Cubs","592","9.1 %","15.7 %","0.58",".230",".306",".325",".631",".094","4.2",".266","1.3","0.5","0.2","52","-17.7",".282","72","4940"
"Alcides Escobar","Royals","682","4.0 %","14.1 %","0.28",".261",".292",".350",".642",".089","5.4",".295","-1.1","-1.1","1.4","58","-22.7",".278","68","6310"
"Alexei Ramirez","- - -","506","4.2 %","12.5 %","0.33",".241",".277",".333",".610",".092","3.4",".265","-0.1","-0.1","-2.3","37","-22.6",".264","63","5133"
"Adeiny Hechavarria","Marlins","547","6.0 %","13.3 %","0.45",".236",".283",".311",".594",".075","4.0",".269","1.7","0.4","-0.1","36","-27.9",".256","56","10459"
